留言,公司名稱1,標的號碼1,公司名稱2,標的號碼2,公司名稱3,標的號碼3,
材料五百買 七百賣的我好想哭,材料,4743,,,,,
牛寺 又上上下下惹喔==,,,,,,,
量這麼少 大家都不玩了嗎QAQ,,,,,,,
看來材料要拼燈了,材料,4743,,,,,
今天老蘇又大賺特賺了！,,,,,,,
緯創牆築這麼高想做什麼,緯創,3231,,,,,
連a33喊盤次數也跟著量縮,,,,,,,
6411去年基期這麼低... 股版好人點到的呢XD,6411,6411,,,,,
力特追空的回補潮 幫QQ,力特,9951,,,,,
不過我有留一張 漲多一點也是有幫助!,,,,,,,
99百葉窗.......,,,,,,,
你手上的Ai股，還沒做ESG的，股價還要要再下修,,,,,,,
本來是默默撿6457 看到6411 眼睛都亮了,虹堡,6457,中美晶,6411,,,
材料真的太狂了,材料,4743,,,,,
說錯 是野村,,,,,,,
垃圾台積又扛跌幅,台積電,2330,,,,,
擎邦好玩,擎邦,6101,,,,,
破船想搞事,,,,,,,
翻紅惹,,,,,,,
可成明天開始要搞事情的感覺,可成,2474,,,,,
量縮成這樣根本浪費時間,,,,,,,
偉詮電真會玩,偉詮電,3036,,,,,
邰智源今天也厲害,,,,,,,
力特今天主力沒啥在同學會喊話也4萬張,力特,9951,,,,,
還有金融指壽險雙雷賣整天 明天給我往下跳,,,,,,,
可成179-180換手準備再度噴出,可成,2474,,,,,
鈺創衝衝衝…要加碼的好好把握！！,鈺創,5351,,,,,
是一堆個股明天都想幹大事阿XD,,,,,,,
盤控成這樣沒有要玩有比較好嗎 笑死,,,,,,,
力特是神仙打架,力特,9951,,,,,
沒有每天贏的 沒有那種大虧 小虧也可以接受,,,,,,,
2哥還沒輸,,,,,,,
台指拉到平盤了,,,,,,,
尾盤偷噴 嘻嘻,,,,,,,
大同舒服了 搶到反彈,大同,2371,,,,,
螃蟹挑戰前高450 跟鬼一樣,瑞昱,2379,,,,,
力特是全聯出貨吧?,力特,9951,,,,,
大盤翻紅？,,,,,,,
青鋼好妖,青鋼,2038,,,,,
收盤價 又要創短線高點了嗎,,,,,,,
https://i.imgur.com/WkN8z6k.jpg,,,,,,,
材料該當股王了吧,材料,4763,,,,,
明天異能更新＋台股睡醒數錢 舒服,,,,,,,
但台積還是可憐，都沒有辦法連續硬兩天,台積電,2330,,,,,
東洋還有戲嗎,東洋,4105,,,,,
有人股票借貸還可以2%以下嗎？,,,,,,,
翻紅辣,,,,,,,
材料真的鬼 看好久都沒出手XD,材料,4763,,,,,
最近流行軋尾盤!,,,,,,,
材料KY太兇了啦,材料,4763,,,,,
2885軟好幾天了 因為交投清淡嗎,元大金,2885,,,,,
力特記得明天記得跑吧，今天應該是元大自救硬扛的,力特,9951,元大金,2885,,,
8064沒人玩的突然爆大量突破均線糾結，感覺有戲,南電,8064,,,,,
該做的是第二層思考... 東洋業績 未來有戲嗎?,東洋,4105,,,,,
Ai股，一堆還沒做ESG的，產品出口歐盟後股價慘,,,,,,,
誰能告訴我羚羊今天怎麼了==？,,,,,,,
請益:AI股是台股毒瘤嗎,,,,,,,
被騙了啊啊啊啊啊,,,,,,,
今天可能漲元宇宙相關吧,,,,,,,
愛普真會玩,愛普,6531,,,,,
不過我是不相信力特會扛上32.5啦,力特,9951,,,,,
2401? 盤完就噴阿 沒怎了,凌陽,2401,,,,,
力牛寺 那不就得今天跑,力特,9951,,,,,
笑死  硬拉紅,,,,,,,
這波是漲去庫存電子 畢竟被軍工 重電 AI壓太久了,,,,,,,
平盤是怎樣,,,,,,,
黑手控盤,,,,,,,
力特 拉超高給你跑 恭喜,力特,9951,,,,,
真是羨慕買材料的,材料,4763,,,,,
聯強好….無言 持股全紅就你下跌,聯強,2347,,,,,
AI拉尾,,,,,,,
精準控盤 笑死,,,,,,,
別怕  今天不會再跌了,,,,,,,
對折壓身家之前好久沒提了 凹回來開始大聲 笑死,,,,,,,
+1.92 真的很會控,,,,,,,
華孚是怎樣？,華孚,6235,,,,,
硬尻回平盤 笑死,,,,,,,
大盤硬是要漲ww,,,,,,,
價漲量增明天噴出,,,,,,,
漲一點QQ,,,,,,,
慘了 被套牢112,,,,,,,
廣達厲害了,廣達,2382,,,,,
收紅欸～ +1.92....廢到笑,,,,,,,
莫名其妙漲到變注意股...看營收也沒賺很多啊,,,,,,,
垃圾台積天天殺尾,台積電,2330,,,,,
青鋼這隻股票是怎麼回事…拉好多喔,青鋼,2038,,,,,
演一整天,,,,,,,
大盤大漲1點 多蛙的勝利,,,,,,,
電鍋硬拉上來耶,,,,,,,
控成這種死魚盤沒人要玩有比較好膩,,,,,,,
拜託對折別再吹了 恥骨被你吹死都不動,,,,,,,
廣達尻回去,廣達,2382,,,,,
力特那個就單一大戶瞬殺，反正原本交易量就不多，幾,,,,,,,
謝謝護盤國家隊哈哈 每天都在拉尾盤,,,,,,,
材料太神了,材料,4763,,,,,
明天過季線有望 靠大型股動起來,,,,,,,
長榮拉尾盤..嘻嘻 越喊越噴呢,長榮,2603,,,,,
一天嘎一點 溫水煮空蛙,,,,,,,
台積電殺尾，不見得收紅,台積電,2330,,,,,
還有空蛙嗎？A兩聲來聽聽？！嘻嘻,,,,,,,
乎都是主力自己洗量而已，所以要扛回去難度也不高。,,,,,,,
力牛寺！元大鹿港買上去了!?,,,,,,,
我心態沒了 昨天停損大同 結果今天漲,大同,2371,,,,,
+1.92,,,,,,,
準備突破https://i.imgur.com/SzR2iYz.jpg,,,,,,,
成交量才2299億，能在這個位置撐多久？,,,,,,,
昨天留的精英 結果跌,精英,2331,,,,,
東洋已經被取捨了嗎,東洋,4105,,,,,
長榮突然大單敲進?,長榮,2603,,,,,
世新真的有夠爛 居然還殺尾盤,世新,3665,,,,,
不過其實32已經碰到之前大量區，很多散戶套牢的攤平,,,,,,,
力特被某群人士染上，完全不想玩,,,,,,,
乾 所以大同昨天到底怎麼跌停XD 真的是不起訴的關係,大同,2371,,,,,
力特 笑死 有夠惡劣,,,,,,,
廣達撮完245 好誇張喔,廣達,2382,,,,,
看看2401盤沒多久就噴出 長榮這種盤久的..未來噴出,凌陽,2401,長榮,2603,,,
區間了，再拉上去就是上次那群跌停沒走的開始要跑了,,,,,,,
長榮好猛 大漲1塊,長榮,2603,,,,,
會更兇,,,,,,,
大盤演了一整天 太狠了,,,,,,,
掛賣的力特尾盤竟然成交惹,,,,,,,
恭喜航運大噴,,,,,,,
準備向下突破,,,,,,,
台股收紅！太猛啦！沒量蛙還好嗎？A33萬八好爽,,,,,,,
內褲線 就是最近黑手都會拉尾嘎空軍,,,,,,,
yu好了啦 華航雞排你要欠多久 不然就右轉出去啦乾,華航,2610,,,,,
狂賀加權指數收盤價再創新高,,,,,,,
哇大盤還是紅的，中小爽死,,,,,,,
先掛好盤後買5258，等三大法人期貨多空了,虹堡,5258,,,,,
電鍋偷拉,,,,,,,
大漲1.92點~,,,,,,,
等待長榮九月營收月增 a33來買長榮,長榮,2603,,,,,
冠德子公司 根基突破盤整 漲一根,冠德,2520,,,,,
垃圾g,,,,,,,
只剩下+~老輸死守AI,,,,,,,
台積被吹死,台積電,2330,,,,,
力特玩一玩就好，別說你在投資,力特,3484,,,,,
我看應該笑罵由人了啦,,,,,,,
英業達真AI,英業達,2356,,,,,
誇張啥 我還嫌廣達下不來,廣達,2382,,,,,
黑手屌拉 好屌,,,,,,,
每天罵垃圾G還是沒用,,,,,,,
OTC右肩預備！,,,,,,,
人妻我娶就是舒服,,,,,,,
秀股息領多少吧 雞排請不出來 嘻嘻,,,,,,,
尾盤是MACD調漲嗎？,,,,,,,
營建股因為四十年房貸 都有人貸款增量了,,,,,,,
那個gg我已經完全不想理他了,台積電,2330,,,,,
跪求版主新增祭品文條款,,,,,,,
今天真會玩XDD,,,,,,,
gg怎麼硬一天又軟了,台積電,2330,,,,,
就補量呀，你把昨天今天的量加一加，就差不多夠了,,,,,,,
GG除息前一天會漲回來,台積電,2330,,,,,
英業達是8月營收很好嗎 怎麼這幾天一直收紅,英業達,2356,,,,,
99廣運,廣運,6125,,,,,
股版可以讓你這樣隨便騙的嗎 yu雞排請一請啦,,,,,,,
老蘇好神 58買英業達 今天55也推薦英業達XD,英業達,2356,,,,,
漲1元意思意思,,,,,,,
持股靠西瓜鋼衝收益 扛2488 Go,力特,3484,,,,,
台灣的NVDA,,,,,,,
我廣達如果盤後賣成功 今天還小紅欸 真不錯,廣達,2382,,,,,
今天操盤手要獎勵他一支雞腿，控的精準,,,,,,,
百貨我覺得很穩啊，蹲著看戲就好,,,,,,,
有人整天吹長榮 雞排都請不起,長榮,2603,,,,,
黑手硬要拉紅 明天殺到散戶哭出來,,,,,,,
力特真的很有趣,力特,3484,,,,,
整天喊股利。 雞排絕口不提 嘻嘻,,,,,,,
今天扣台積還漲40幾點 不良品,台積電,2330,,,,,
99京元電,京元電,2449,,,,,
英業達轉買別檔 早就賺翻了,英業達,2356,,,,,
控的這麼準 你各位還敢玩哦,,,,,,,
台灣黑手真的很猛精準控盤,,,,,,,
力特倒多一點啊 怎不倒啦？不是貨很多很屌？,力特,3484,,,,,
有人看到長榮收最高 氣到不行 嘻嘻,長榮,2603,,,,,
