留言,公司名稱1,標的號碼1,公司名稱2,標的號碼2,公司名稱3,標的號碼3
99華星光,華星光,4979,,,,
99旺矽,旺矽,6223,,,,
8255賣爽沒,朋程,8255,,,,
3078害我也買綠賣紅 玩完了嗎,僑威,3078,,,,
成本135路過,,,,,,
增資買大樓,,,,,,
崇越必噓,崇越,5434,,,,
7000張是要抽個懶叫,,,,,,
只有700張可以抽吧?,,,,,,
700張....抽中的運我寧願拿去買樂透,,,,,,
台Ｇ直接去日本找大廠拿料,台積電,2330,,,,
第六隊概念股,,,,,,
安永的魚好吃,,,,,,
高檔增資崩爛,,,,,,
嗯 隨便一個路人覺得身價一兆的CEO不行,,,,,,
廢文王,,,,,,
沒料的人好意思說ptt廢文多…？,,,,,,
一直貼機翻廢文 最好水桶,,,,,,
看 ID 就知道要噓,,,,,,
可以直接永桶嗎,,,,,,
文組？連伺服器都不知道是什麼呵呵,,,,,,
都AI了 誰理高端,高端疫苗,6547,,,,
又是外銷轉進口啊，台灣CDC自己寫的垃圾,,,,,,
垃圾不用討論,,,,,,
為什麼寫的內容跟製造商文宣這麼像呢？水好深啊,,,,,,
買高端不如買LLY,高端疫苗,6547,,,,
欸 還在高端 呵呵,高端疫苗,6547,,,,
支持的 今天趕快市價掛漲停買進,高端疫苗,6547,,,,
股版討論保護力幹嘛 信的就買高端股票買起來，到時,高端疫苗,6547,,,,
賺大錢貼對帳單笑死這群反高端份子,高端疫苗,6547,,,,
都2024了還在買疫苗股喔 笑死,,,,,,
看是哪些媒體 在吹這事 就知道了啊,,,,,,
就投paper 啊  人家醫學教授也是需要投paper的啊，,,,,,,
不然 各大醫學院的paper數 怎麼會那麼多,,,,,,
我就簡單的問，其他疫苗在最嚴重時都有保護力資訊，,,,,,,
為啥只有高端一直說不清楚。,高端疫苗,6547,,,,
另外 期刊是審核內容和實驗數據的嚴謹和正確性,,,,,,
因為當時臺灣沒有病例…,,,,,,
當初吵過，上面推文也講過,,,,,,
打沒認證的疫苗你要嗎哈哈,,,,,,
搭上最近莓果事件喔,,,,,,
不如買台灣cost 美廉社,,,,,,
猛爆性根念股,,,,,,
握嗎不是比較強,,,,,,
一星概念股,,,,,,
A肝莓表示：你看不起我？,,,,,,
應該會越爛越噴,,,,,,
https://i.imgur.com/DZ5zsnw.jpg,,,,,,
最近套在美債，也在想要不要信貸來攤平加碼…,,,,,,
豪猛，給尊重,,,,,,
敢這樣借 基本上不缺錢,,,,,,
我貸款all in已經賠1%,,,,,,
https://i.imgur.com/o14bNsf.jpg,,,,,,
一天小跌1%想到利息真的喘不過氣,,,,,,
有單  推推啦！,,,,,,
你們一定覺得 美債 etf 是 送分題？？？,,,,,,
推 賭徒就是要賭到死,,,,,,
老巴呀，發日債借爽爽,,,,,,
前同事3月歐印+貸，現在到處玩樂打卡,,,,,,
推，比一堆整天喊好好賺卻不敢給對帳單的嘴砲仔猛多,,,,,,
了,,,,,,
恭喜,,,,,,
https://i.imgur.com/lO1PKOw.jpg,,,,,,
厲害,,,,,,
猛,,,,,,
賭很大 推,,,,,,
美股開殺,,,,,,
房貸寬限期1500+3500質押https://i.imgur.com/XQonu,,,,,,
B8.jpg,,,,,,
https://i.imgur.com/oY1Twnt.jpg,,,,,,
去年高點下來崩約6千點，用別人的錢套利還是滿爽的,,,,,,
藍燈但股價在這位階，有點辛苦啊,元大台灣50,0050,,,,
準備賺爛  恭喜,,,,,,
你是不是信了長天期債券ETF未來"穩賺"的...,,,,,,
大家都玩這麼大,,,,,,
丸子 多蛙開始show損益 只差專職文了,,,,,,
有單有推,,,,,,
https://i.imgur.com/hZeDNO3.gif,,,,,,
k大強阿5000W套利 1500等於開到最大質押2倍多,,,,,,
這波就可以退休了，加油,,,,,,
推 有單真男人,,,,,,
貸款的人真多 有單有推,,,,,,
all in 啦,,,,,,
丸子 要崩的訊號 開始秀賺翻文,,,,,,
大屌哥,,,,,,
絕對不會崩 融資還很低+這波都是法人買上去,,,,,,
還有根本沒創歷史新高 創歷史新高才會崩,,,,,,
我投入金額跟你差不多，但是沒有借款還留400萬備用,,,,,,
我做股票原則是不借款，用閒錢，沒壓力,,,,,,
敢借錢開槓桿都是有功夫的，少年股神不要學,,,,,,
娘子快出來看 好多有錢人,,,,,,
厲害，我只有房貸，不知道能不能借信貸,,,,,,
保重，希望不要看到新聞,,,,,,
生命週期投資法,,,,,,
開始抓最後一個遊戲開始,,,,,,
借錢原則就是只作極低風險套利近3%，三年安全走過,,,,,,
融斷及6千點崩跌，只差飛彈過來的風險。,,,,,,
好猛,,,,,,
借錢槓桿就買高股息ETF就好 單一股票怕會撐不住,,,,,,
電信股 統一 金融 那種穩穩地,,,,,,
可以房貸+信貸+車貸+股票質押 槓桿可以開到4-5倍,,,,,,
房貸500-1000W 信貸300W 車貸50W 在質押*2倍約2000W,,,,,,
假如自己還有一點本金200W 大概開完可以到2000W以上,,,,,,
去年崩6000點都沒社會新聞斷頭了 現在更不可能,,,,,,
敢這樣借錢玩 肯定都又想過風險 不會allin但一個股,,,,,,
真的要斷頭 卷商也會先幫你賣掉了,,,,,,
祝福~勇者 可以分享你買了甚麼嗎,,,,,,
大家到底賺多大xd,,,,,,
感謝大家的資金注入,,,,,,
推文的人都很擔心你的錢,,,,,,
他能借這些就表示銀行核過的現金流可以扛的住,,,,,,
財富彎道超車看這波了，哥加油！,,,,,,
股市波動能不能扛住就看自己了,,,,,,
看到一堆人在擔心就知道穩了 繼續噴,,,,,,
別人一根漲停10%，我套1年才快3%，差別就是睡得著，,,,,,,
克服貪念再來談借錢投資。,,,,,,
股市不貪婪 就是沒辦法大賺 永遠都定存 一輩子都窮,,,,,,
本金1百萬全職做股票 明年可以買到大安區的房子嗎,,,,,,
哇賽6.73%都借出來了all in了,,,,,,
賺爛了,,,,,,
閒聊本來就一堆多軍反串空軍啊XD 不要對閒聊太認真,,,,,,
我存款10萬早就歐印了,,,,,,
呃，股神好像愈來愈多，是不是要準備....,,,,,,
散戶整天想說要崩盤 笑死 今年沒有人何一天-300黑K,,,,,,
連最猛2021年都很多天-300以上 今年籌碼超穩,,,,,,
好猛,,,,,,
賺爛了 賺爛了 沒被閒聊恐慌仔騙到的全都賺爛了,,,,,,
這裡是借貸板?給我看借多少錢?,,,,,,
借到最大 再開槓桿 選擇權開下去,,,,,,
有單就推 一路平安,,,,,,
失敗就砍掉重練而已…18年後又是條好漢,,,,,,
崩崩,,,,,,
退休 跟  馬上退休….,,,,,,
這串是在尬廣是不是,,,,,,
這篇出來就跌了,,,,,,
問就是all in…等著當股神名利雙收,,,,,,
我們懷念你,,,,,,
看成藍波,,,,,,
讚啦 億來億去近在咫尺,,,,,,
還在魚頭 你會贏,,,,,,
反指標,,,,,,
完了選號來了,,,,,,
https://i.imgur.com/m8duedy.jpg,,,,,,
昨天第一時間就覺得怪，果然XD,,,,,,
反指標,,,,,,
希望這種文多幾篇,,,,,,
朝聖 文一出 一根長黑招待,,,,,,
朝聖,,,,,,
朝聖,,,,,,
爽哥你怎麼變這樣,,,,,,
持股今天死魚 科科 小漲繼續賺,,,,,,
韭菜 你好,,,,,,
今天真刺激,,,,,,
兩百點 謝囉,,,,,,
一po文就跌 反指標是你,,,,,,
遲早得收斂 拖越久越有利囉 但如果急起來下山速度嚇,,,,,,
死人了... 看戲,,,,,,
恭喜大家都賺爛,,,,,,
今天真的謝囉,,,,,,
蒸是蟹囉,,,,,,
朝聖推,,,,,,
你說藍色是你最愛的顏色,,,,,,
崩到你叫媽～～～崩崩,,,,,,
我笑了,,,,,,
就說有這種文就代表訊號來了 屢試不爽,,,,,,
朝聖,,,,,,
笑死 韭菜就是長這樣,,,,,,
房子法拍不如便宜賣股友,,,,,,
