留言,公司名稱1,標的號碼1,公司名稱2,標的號碼2,公司名稱3,標的號碼3
高盛反著來別墅靠大海,,,,,,
他的工作是騙你放錢的口袋 你會聽他說任何話應該要檢討,,,,,,
高盛聯電目標價還喊119勒,聯電,2303,,,,
妮真以為牠是預測？,,,,,,
有什麼是準的？,,,,,,
高盛跟糕x差一個字而已,,,,,,
高盛在原物料上是喊多做空的慣犯了,,,,,,
高盛商品指數收割機,,,,,,
謎音：投資有….,,,,,,
投資人信這種不準的機構才要負責任吧,,,,,,
準的是內部那份公開的那份當然不準,,,,,,
快七月了， winter is coming， 冷死跟油價dochi 的時刻近了!,,,,,,
高盛的豐功偉業你沒聽過？跟匯豐有的比阿,,,,,,
拜登：當我塑膠？,,,,,,
建議政府要規定文章開頭都要先用字體28以上寫：以下內容純屬猜測,,,,,,
預測都沒印度神童準，那就是亂猜了，亂猜還不說清楚就是騙，騙到錢還不澄清就是詐騙，那應該要把文章作者關起來才對。,,,,,,
不是不准啊 是故意放假消息,,,,,,
陽明就0056成分股啊 還佔5%當然一直買,陽明,2609,元大高股息,0056,,
陽明列入0056，6月底幾個交易日買入就之前公布的阿,陽明,2609,元大高股息,0056,,
他列入後，陽明才公布除昔日的,陽明,2609,,,,
之前現增高點賣，現在低點接回來，怎麽輸（咦,,,,,,
當初元大不忍痛認賠，早就賠一褲子了,元大金,2885,,,,
都是拿您們的錢買的噢 相信專業,,,,,,
#1W_LKKf8,,,,,,
12.5萬多張均價165，假設現在接回來...,,,,,,
樓下你可以幫忙算一下嗎,,,,,,
跟著買 不要問 !!!!,,,,,,
因為0056納入陽明啊 被動買盤,元大高股息,0056,陽明,2609,,
只是會分不同投信去買 元大分點只是其中之一,元大金,2885,,,,
0056 今年整個亂換成分股  該下神壇了,元大高股息,0056,,,,
當初元大不要倒 還不一定會賠勒,元大金,2885,,,,
當時那種各路大戶 大媽一起炒航運的氛圍要拉上去不難 那時候連去派出所都聽到4、5個警察在聊航運 還有遇到大學生跟我說他都在當沖航運 還想教我玩股票  那種榮景是被元大自己斷送掉的,元大金,2885,,,,
那時候還有消息是拜登要打壓運價  元大嚇到不敢抱 結果後來運價還是一直漲 都過了快一年 現在才說元大當時倒貨是對的 還滿好笑的,元大金,2885,,,,
ETF有規則啊 不能亂來,,,,,,
如果要說元大的決定是對的 那他當初就不會承包陽明的增資了  弄到自己要認養那些股份 然後再倒貨,元大金,2885,陽明,2609,,
被動買盤是買到這週五？,,,,,,
陽明增資搞爛一切,陽明,2609,,,,
0056為了高股息犧牲股價 會被投資人罵翻,元大高股息,0056,,,,
陽明當初不要增資，股價應該不會輸長榮,陽明,2609,長榮,2603,,
搞爛一切的是後來一直壓貨櫃股價的法人吧,,,,,,
0056的位階已經比大盤12000還低了,元大高股息,0056,,,,
0056納入800多的聯發科  跟100多的陽明 看股價會跌到哪,元大高股息,0056,聯發科,2454,陽明,2609
造市？,,,,,,
去看看今天陽明借券多多少張,陽明,2609,,,,
陽明股價現在跟長榮差不多啊,陽明,2609,長榮,2603,,
將近十萬張的融資很少嗎 本來預期今天至少殺個三萬  唉唉 三大法人可是大買一萬八千多長還大跌,長榮,2603,,,,
假請益,,,,,,
可能在等東風吧...不過可能等到颱風來襲,,,,,,
是被陽明搞的吧,陽明,2609,,,,
0056最爛etf….,元大高股息,0056,,,,
對啊,,,,,,
只能說這次56依他邏輯選了，但卻是風險高的那票,元大高股息,0056,,,,
感覺0056要被航運玩爛了，十年內填的了息嗎@@,元大高股息,0056,,,,
元大當初增資是被陽明跟交通部逼著吃掉啊,元大金,2885,陽明,2609,,
被動買入,,,,,,
又為了自己的商譽 只好吃了再說,,,,,,
還有那時候航運股價也開始下滑了 他不賣也有別人倒 鄉民都有那種不准別人賣只有我可以先下車的獵奇思想,,,,,,
推文一堆不懂56怎麼操作也在發言實在好笑,,,,,,
幫航海王感謝你們,,,,,,
反正今天把陽明97賣了。下禮拜要除息直接掉75,陽明,2609,,,,
當初問題是交通部吧，本來傳陽明要延期，但交通部不準，導致元大要硬吃,元大金,2885,陽明,2609,,
本週換成份股,,,,,,
去年納入長榮怎麼酸的已經忘記了嗎 一年過去了到底是誰沒穿褲子XD,長榮,2603,,,,
0056 每次換股都被嘴 但實際績效一直都不差…,元大高股息,0056,,,,
高股息的選股邏輯很容易賺股息賠價差 所謂的殖利率概念,,,,,,
0056過去10幾年只要配息都填息 哪來的賺股息賠價差==,元大高股息,0056,,,,
元大那時候充滿著O你娘親的殺意真的是肉眼可見,元大金,2885,,,,
0056等26再來建立部位,元大高股息,0056,,,,
想賺股利吧,,,,,,
股價壓在9X是否就沒有扣稅問題？,,,,,,
前兩天在低卡看到少年股神0056停損  快笑死,元大高股息,0056,,,,
陽明新大樓門口應該有給元大的感謝文,陽明,2609,元大金,2885,,
先推再看  上次的成長excel都加入收藏了,,,,,,
推,,,,,,
推,,,,,,
有點猛 推,,,,,,
推,,,,,,
推用心,,,,,,
好厲害  推推,,,,,,
很棒~辛苦了~~~~~~,,,,,,
丸子,,,,,,
波克比,,,,,,
怎麼不買航運?,,,,,,
拷貝....,,,,,,
802 ? 虧死了！,中環,2323,,,,
快攤平了,,,,,,
越攤越貧 操盤手要被炒了吧,,,,,,
802 有夠韭,中環,2323,,,,
為什麼買進380張，餘額是75張?,,,,,,
航運賺的  發哥都賠光了,,,,,,
本多終勝~~攤平就對了,,,,,,
可憐哪,,,,,,
有種,,,,,,
好好做光碟片就好啦,,,,,,
發哥這波真的跌太狠,,,,,,
我到底看到什麼,,,,,,
賺的都賠光了,,,,,,
占總資產比例:61.57%...,,,,,,
802？,中環,2323,,,,
丸,,,,,,
波克比 QQ,,,,,,
這整個寫錯吧？打字員睡著了還是趕下班？,,,,,,
400鴿笑而不語,,,,,,
真的是韭爆了……波克比操盤手連最基本的K線觀念都不管直接抄底，抄到大白鯊了吧,,,,,,
韭菜,,,,,,
累積這段時間買進380張，手邊剩下75張，沒錯呀,,,,,,
當他買進後都不能賣484,,,,,,
賠死==,,,,,,
今天他若拿三億當沖發哥最後持有零張，那他也要發公告，如果是賺的還要另外發處分公告，因為超過三億,,,,,,
應該炒魷魚了,,,,,,
環環妳。。。。,,,,,,
賭身家484,,,,,,
中環到底怎麼決定標的和進出,中環,2323,,,,
賠別人的錢好爽ㄛ,,,,,,
波克比你又調皮了哦,,,,,,
韭菜神,,,,,,
丸了,,,,,,
一直賠錢還可以減資喔!,,,,,,
類韭菜???,,,,,,
好想去中環上班,中環,2323,,,,
大型韭菜，尼一定還有錢錢,,,,,,
802笑死,中環,2323,,,,
梭身家...,,,,,,
超大型韭菜,,,,,,
我要在你臉上寫個慘字,,,,,,
最近好多大型韭菜新聞,,,,,,
印象中看到新聞 地表最強5G?,,,,,,
股x同路人,,,,,,
賺爛了  疑,,,,,,
qq  800多大學長,,,,,,
韭菜爆笑,,,,,,
大型韭菜,,,,,,
https://i.imgur.com/9ZeSTd6.jpg,,,,,,
空王直接消失 這個不行 好歹南茂哥還願意出來,,,,,,
賠死-.-,,,,,,
波克比,,,,,,
再賠下去 會不會沒錢翻本了= =,,,,,,
https://i.imgur.com/P3K52y4.jpg,,,,,,
No～～～～～～～這反指標,,,,,,
QQ台灣波克夏…………怎翻車啦,,,,,,
這什麼價格XDDDD,,,,,,
發哥掰,,,,,,
翻車,,,,,,
超大型反指標,,,,,,
話說中環上次買的台積電賺錢了嗎？,中環,2323,台積電,2330,,
好慘...,,,,,,
又,,,,,,
慘 波克比,,,,,,
幫波克比QQ…,,,,,,
大韮菜..QQ,,,,,,
這才是熟悉的中環,中環,2323,,,,
參加除息惹,,,,,,
要和聯發科共存亡嗎？,聯發科,2454,,,,
實在是不知道該說什麼..,,,,,,
9,,,,,,
說不定會回1000,,,,,,
不能直接買 0050 嗎？,元大台灣50,0050,,,,
800……,,,,,,
這檔很愛半導體耶,,,,,,
哈哈哈哈哈,,,,,,
這樣直接變聯發科股東阿,聯發科,2454,,,,
波克比,,,,,,
有點貴,,,,,,
中環讚讚,中環,2323,,,,
阿明唯一跌得 XD,,,,,,
買到沉,,,,,,
立端有點東西,,,,,,
阿明尾盤一萬七千多張還漲不動到底多少人在吃0056豆腐,元大高股息,0056,,,,
外資要吃豆腐,,,,,,
阿明…,,,,,,
誰在賣,,,,,,
你馬的 買第一名跌最多 台股就是廢,,,,,,
跌最多?? 你誤會甚麼? 大盤也是跌喔!,,,,,,
Respect,,,,,,
賣了再說,,,,,,
這算百萬級別的畢業文嗎？,,,,,,
頭推,,,,,,
QQ,,,,,,
頭期款飛了,,,,,,
沒賣就有機會,,,,,,
是出金買房逆？,,,,,,
所以這要表達什麼,,,,,,
比萬元畢業文好多了 XDDD,,,,,,
你是買了啥摸,,,,,,
300萬飛走........,,,,,,
可以請問你是買什麼股嗎，怎麼賠那麼多,,,,,,
還沒跳樓 不夠,,,,,,
沒單,,,,,,
這又看不出來虧損金額,,,,,,
謝謝你的畢業文,,,,,,
我知道你還有錢,,,,,,
大盤不是才跌1x% 你是開槓桿！？,,,,,,
我知道你還有錢,,,,,,
反觀板上一堆賠5位數喊畢業的,,,,,,
你是玩了什麼酷玩意？,,,,,,
假假的感覺是黑手假畢業誘多文,,,,,,
不是融資都還有救,,,,,,
…..賣了去買房 別騙了,,,,,,
賣了再說  當這邊都菜雞?,,,,,,
把錢轉到其他戶頭,,,,,,
沒單 word打一打就有了,,,,,,
損益根本看不出來,,,,,,
我還以為是比特幣,,,,,,
https://i.imgur.com/qFQKOuc.png,,,,,,
績優股都沒跌50%,,,,,,
拿去買房了吧==,,,,,,
你是高歌離席轉錢去買房吧,,,,,,
我知道你還有一對腰子,,,,,,
買哪一隻啊,,,,,,
對帳單那麽好截圖..你特定這樣截2張 ？,,,,,,
說不定是賣掉股票而已…,,,,,,
假的,,,,,,
樓上=…=,,,,,,
這種跌幅是開槓桿吧... 又不是美股,,,,,,
面板吧,,,,,,
真的慘…不忍噓,,,,,,
貼對帳單阿  貼戶頭幹嘛?,,,,,,
坦白說你484名下多一間房跟一筆房貸惹,,,,,,
短線要彈了謝謝你,,,,,,
這張不夠真實,,,,,,
搞不好高割離席反串而已,,,,,,
融資全開然後快斷頭就是這樣 QQ,,,,,,
今天廢半帶大家一起AAA,,,,,,
這個是集保e存摺吧,,,,,,
量縮成這樣,,,,,,
這就集保e存摺啊,,,,,,
大盤跌17%很多個股都不知道跌去哪了,,,,,,
訊號？,,,,,,
沒事幫補血,,,,,,
感覺來騙的,,,,,,
真的話還蠻慘的.. 這縮的也太多了,,,,,,
有蠢蛋看不懂這兩張圖背後意義 笑死,,,,,,
？,,,,,,
也沒對賬單一堆人在跳,,,,,,
給尊敬,,,,,,
恭喜脫離苦海，善哉善哉。,,,,,,
"值得尊敬 respect ",,,,,,
騙小騙鼻的,,,,,,
你只是賣掉吧,,,,,,
通膨真的會過去啊.....，是不是反串文呀，繼續忍一年搞不好就反轉了,,,,,,
這邊都玩股票的賭徒，沒那麼好騙啦,,,,,,
主跌段還沒來就虧這麼多？,,,,,,
對帳單請出示,,,,,,
才百萬 想騙誰,,,,,,
這表示還沒賣啊，畢業三小,,,,,,
這是以為版上都新手發的廢文嗎,,,,,,
QQ,,,,,,
一台GLC 沒惹,,,,,,
你這賣了再說,,,,,,
三百萬也太多了......拍拍,,,,,,
3小阿,,,,,,
這哪門子對帳單？,,,,,,
呵呵 這種只貼前後總資產差多少的一看就知道想誤導,,,,,,
凹下來了,,,,,,
原本是這個原因，那個時間點才會全部跌下來一些。,,,,,,
台灣應該會跟1碼吧！,,,,,,
噴好大一根！！,,,,,,
台灣大概又會貶值,,,,,,
感覺上至少要跟1碼,,,,,,
嘎嘎嘎,,,,,,
一直上上下下超煩,,,,,,
反彈再空啊 其實蠻好的 死貓跳而已,,,,,,
已反應,,,,,,
明天美股才跌,,,,,,
台灣敢升 物價立刻上漲,,,,,,
買不起又租不起的日子要來了嗎,,,,,,
猜台灣半碼慢慢升,,,,,,
一碼都要被罵到臭頭了，半碼是找死,,,,,,
反觀 台灣 一個垃圾 出張嘴,,,,,,
呆丸喔 一切看房產啦～百萬房貸大軍在哀哀叫了 到時房貸倒債 羊行長官自己看著辦 科科 自己搞十幾年低利率 現在弄個大泡沫出來,,,,,,
年底前還有7-8碼。,,,,,,
塊 陶 啊,,,,,,
輸了..樂透沒了,,,,,,
台灣升太少資金就往美元流動而已,,,,,,
來囉 超級大空頭,,,,,,
台灣cpi應該有7-8%，外面物價都漲翻天了,,,,,,
1.5碼,,,,,,
一堆亂預測的 這次加起來是5碼來看才對,,,,,,
王美花還不升，資金外套台股淪為外資提款機,,,,,,
升息不是王美花決定的吧？..,,,,,,
說好的血流成河咧,,,,,,
台灣頂多半碼 謝謝,,,,,,
鮑皮都騙人,,,,,,
20年低利泡沫，不用還代價？,,,,,,
呆丸要升幾碼？科科,,,,,,
應該繼續印鈔票，繼續開趴踢，繼續炒繼續漲，畢竟台灣不一樣,,,,,,
半碼,,,,,,
台灣應該要2碼了 5月2碼 6月3碼 7月再2碼 總共就7碼 台灣如果只升2碼 就只能等死 下次理監事會要到9月 這次如果沒升2碼 就只能等死,,,,,,
幾馬幾馬的很無聊,,,,,,
台灣二馬表示,,,,,,
台灣都無碼啦 不要嘴,,,,,,
符合預期,,,,,,
= =太猛了吧,,,,,,
台灣頂多一碼啦，升多房貸族就死在那,,,,,,
台灣油電凍漲就是不想升息啊,,,,,,
升息又不是美花決定的，硬要酸很無聊,,,,,,
又再幻想0碼 總有人愛當少年央行總裁,,,,,,
全跟機率大，美國七月還要升，不跟等著股匯雙殺吧,,,,,,
台灣跟進二碼應該板上釘釘了,,,,,,
已經講很多次，台灣就是1碼到2碼，低於1碼或高於2碼才會感到意外,,,,,,
近一個月，已經有韓，紐等國利率追上台灣，台灣利率只有跟著向上波動的份，不然資金走掉，資產價值會崩得更慘,,,,,,
房版要是因為加那一點利息就要跳樓的話，股版不知有多少人要增加龍巖營收,龍巖,5530,,,,
臺灣油電現在就普通用戶補貼用油用電大戶 然後產品漲價賣回給普通人 剝兩次...,,,,,,
台灣作法不就是不升息然後物價漲太多就拉基本工資嗎ww,,,,,,
升個兩碼就要跳樓 那活該而已 槓桿玩成這樣,,,,,,
那樣通膨降不下來，還會更高，就問一件事，美國接下要每個月蒸發400600億不等，我們台灣要分多少？  分的越多代表錢走的越快,,,,,,
不用政策把錢留下來，只會印鈔票，死的更快,,,,,,
拉基本工資跟大部分受薪族沒關係啊..反正政府就是打定房價不能跌、金主不能賠、物價不用管、一般人吃不飽沒有關係,,,,,,
快選舉了，金主更得罪不起啊！,,,,,,
金主不能賠？ 當金主都沒有持股，沒有上市公司嗎？人家在有價證券賠出去的，要賣幾間房才補的回來？,,,,,,
通膨的影響已經遠大於選舉考量，你沒跟著升台幣狂貶，通膨更嚴重，這才是央行考量的點，你通膨更嚴重選舉對執政黨就有利？呵呵,,,,,,
樓上 你覺得現在執政黨有在看未來嗎,,,,,,
用興富發來講，總流通數約150萬張，跌5元就蒸發75億，等同是半年的淨利,興富發,2542,,,,
當然有啊，不然北高都不甩陳時中，為啥只有台北市長被轟成這樣，只是這就別在股版聊,,,,,,
金主股票玩的更兇，底層被高物價壓死，接下來就是死忠期末考,,,,,,
台灣無碼+1,,,,,,
越加越噴,,,,,,
美股開始噴,,,,,,
不懂有些人在演甚麼，前年疫情美國一下子就降6碼現在只不過加回來而已有很奇怪? 再加上這幾年的成長率跟失業率，升到比疫情前都多個幾碼都算正常,,,,,,
央行都拉基啊，A到自己住豪宅,,,,,,
賭台股不跟然後東牆不惜強,,,,,,
花花說不可以,,,,,,
反向 噴爛預備,,,,,,
字數,,,,,,
穩,,,,,,
噴,,,,,,
美金買入,,,,,,
噴,,,,,,
猜對惹,,,,,,
直播不用看了,,,,,,
喔喔喔喔喔喔喔喔,,,,,,
物價繼續噴,,,,,,
穩了 兩萬列車不回頭 噴噴,,,,,,
準,,,,,,
死˙阿最大利空明天房子拋售,,,,,,
早說了 頂多1碼,,,,,,
爽,,,,,,
超穩的啦  房價要噴了,,,,,,
買爆,,,,,,
噴啦,,,,,,
已反應  明天繼續噴,,,,,,
笑死 才一碼,,,,,,
看來股板共識很隊,,,,,,
大爆噴,,,,,,
還蠻普的啦，大概就這樣了,,,,,,
笑死,,,,,,
大媽超底280的台積電要賣掉改定存了@@,台積電,2330,,,,
算符合預期啦,,,,,,
房地產是火車頭不能亡,,,,,,
爽翻   房價續漲,,,,,,
你各位好自為之阿~~~台灣大媽=無敵,,,,,,
噴噴,,,,,,
火車頭極限就是一碼啦,,,,,,
可喜可賀啊  明天大A,,,,,,
半碼,,,,,,
預測正確的我一點也不開心XD,,,,,,
喵,,,,,,
升半碼好嗎,,,,,,
明天股市回溫？,,,,,,
外資大逃殺開始！,,,,,,
算符合預期啦明天股市繼續倒垃圾,,,,,,
還行拉意思意思,,,,,,
爛死了 明天換美元,,,,,,
0.25%是存款準備率...不是政策利率,,,,,,
0.25%是存款準備率...不是政策利率,,,,,,
有夠爛,,,,,,
笑死 真的被外國資看破手腳,,,,,,
這不是半碼嗎......,,,,,,
幹勒,,,,,,
標題快改 是半碼,,,,,,
好喔 美元繼續升？,,,,,,
你的標題…,,,,,,
半碼 垃圾金龍 多拍得罪建商,,,,,,
不是半碼嗎......,,,,,,
明天錢準備流回美國囉！,,,,,,
半碼笑死,看破手腳XD,,,,,
金融噴噴,,,,,,
網頁爆了耶...看全面大當機,,,,,,
穩了！繼續崩！空爛台股！物價繼續漲！房價不會跌！,,,,,,
半碼啦乾,,,,,,
比彭14A讚，至少一碼,,,,,,
笑死,,,,,,
穩啦 打贏經濟的選戰！！！！,,,,,,
可悲，真的被外國資看破手腳,,,,,,
才半碼,,,,,,
半碼還是1碼?,,,,,,
絕對噴 方向往下！,,,,,,
爛死了半碼,,,,,,
歡樂趴開起來 股房地炒起來 匯市提款機動起來,,,,,,
笑死 半碼房蟲要怎麼崩,,,,,,
幹 被標題騙了 果然部長開示有差 只趕升半碼,,,,,,
半碼？？ 那更慘 呆股 8886,,,,,,
水拉房貸拿去增貸做空台股 財富密碼就在這,,,,,,
呵,,,,,,
0.125半碼 笑死了,,,,,,
半碼 真的沒膽 哈,,,,,,
笑死 才半碼 可憐哪,,,,,,
半碼！！該去換美金了,,,,,,
半碼啦 數學都不會喔,,,,,,
房市火車頭衝啊,,,,,,
哈哈哈哈 半碼,,,,,,
房地產 台灣經濟火車頭 不能倒,,,,,,
偷改標題，新聞稿半碼,,,,,,
才半碼  繼續借壓台股,,,,,,
讚啦 楊總英明 我滿手美金賺大錢,,,,,,
半碼乾脆不要升...建商再度獲勝,,,,,,
外資明天大逃殺,,,,,,
幾碼算清楚再發文,,,,,,
護航放假不遺餘力 半碼 笑死人,,,,,,
笑死人 半碼,,,,,,
半碼....,,,,,,
嗯？剛剛不是寫1碼？,,,,,,
笑死 不意外,,,,,,
你各位美金買好了吧，要起飛了,,,,,,
笑死 超爛,,,,,,
房價繼續噴,,,,,,
搶快小心出車禍 這不就初四啦,,,,,,
半碼!! 哪來的臉啊,,,,,,
一碼 大家可以回家了,,,,,,
才半碼不如無碼,,,,,,
這標題... 秀自己下限也不是這樣,,,,,,
好唷 明天轉美金,,,,,,
丸子 被標題騙 窩錯惹,,,,,,
0.125,,,,,,
沒救等死 繼續炒房,,,,,,
哈哈哈繼續崩,,,,,,
笑惹,,,,,,
美金買爆哈哈哈,,,,,,
可憐,,,,,,
21km是嗎？,,,,,,
尖叫聲！！！,,,,,,
外資鐵定跑阿你下次開會台幣都不知道貶多少了,,,,,,
說升息一碼是搞笑喔???,,,,,,
哈哈哈,,,,,,
標題校正回歸？,,,,,,
幹白爛嗎~~大媽280台積電續留殖利率2%繼續屌打,台積電,2330,,,,
半碼唷？ 那就升交代的阿 槓,,,,,,
被標題陰了,,,,,,
建商大勝利,,,,,,
我他媽快笑死,,,,,,
被歪資看破手腳~~~繼續倒垃圾,,,,,,
300萬準備好,,,,,,
笑死 標題再騙阿 一碼早就已知 年底上2%,,,,,,
王美花：央行很乖,,,,,,
明天每樣在調漲5元好了,,,,,,
炒房仔主政 你期待什麼,,,,,,
爽買美元,,,,,,
只有半碼 真少啊,,,,,,
欸 房蟲勢力這麼大哦? 升這啥阿,,,,,,
可憐,,,,,,
才半碼,,,,,,
半碼   https://i.imgur.com/fFDAEA5.png,,,,,,
好啊大家一起空台股 目標先看12500 再來8500 賣股換美金囉,,,,,,
升半碼  新台幣沒吸引力 外資提款 股市續崩,,,,,,
有夠可憐 根本不敢升,,,,,,
為啥才半碼….房地產金主這麼重要？,,,,,,
到底1還是0.5，我好亂,,,,,,
升半碼你可以不要升 笑死人 浪費大家時間,,,,,,
今天開高走低應該是這個，央行被看沒有XD,,,,,,
抄房就是舒服,,,,,,
.......,,,,,,
呵呵 大家可以去買美金拉 台幣拜拜,,,,,,
笑死,,,,,,
謝謝央行讓我的美金有g會繼續噴,,,,,,
建商大勝利,,,,,,
美花下指導棋大成功,,,,,,
丸子，明天至少跌三百點了,,,,,,
總裁英明,,,,,,
升半碼XDDD跟沒升一樣,,,,,,
美金續噴 外資繼續提款,,,,,,
半碼 大家再見啦,,,,,,
看來政府是保房不保股 你各位繼續炒房炒起來,,,,,,
讚啦 滿手美金,,,,,,
通膨準備爆炸 哈哈,,,,,,
看來楊總裁貸很多齁,,,,,,
半碼啦，1碼是存準,,,,,,
笑死人了 在台灣投資房市真的穩贏不賠,,,,,,
半碼 外資應該走更快了,,,,,,
哈哈～房蟲贏了～果然半碼～,,,,,,
房價不能崩 匯率可以,,,,,,
幹 升半碼是幹嘛,,,,,,
就說不敢碰房價的啦,,,,,,
美花之前就出來帶風向了,,,,,,
笑死人,,,,,,
賺爛了,,,,,,
爛死了,,,,,,
老闆：下月開始雞排再漲10元,,,,,,
zzz 馬的 就知道不能期待金龍,,,,,,
這群官員尿布包包回家睡啦 半碼要打啥,,,,,,
明天股票全賣了歐印美金,,,,,,
半碼，噴,,,,,,
已全部現金換美元 等央行抬轎 舒服 笑你不敢升啦,,,,,,
0.125是半碼吧？台灣央行真的廢耶，半碼也在拖,,,,,,
台股要火箭噴出了,,,,,,
倒爛權值股,,,,,,
廢到笑,,,,,,
央行被看雖小，不過偶幾年前買的美金應該有機會解套,,,,,,
哈哈哈哈哈哈哈哈,,,,,,
才半碼是怎樣,,,,,,
才半碼,,,,,,
台美央行同步升息！央行宣布升息半碼 未加碼房市管類升息 半碼 還真的猜準準,,,,,,
笑死 明天提款機提到沒錢,,,,,,
https://money.udn.com/money/story/5616/6393426,,,,,,
你各位屁民別把自己想得太重要，金主才是爹,,,,,,
果然不超過半碼，夠慘,,,,,,
還好吧... 外資撤退但貶值對出口有利阿,,,,,,
乾  才半碼.......,,,,,,
房板要開趴了,,,,,,
台股掰了,,,,,,
大官們房貸應該都不少,,,,,,
小兒繼續提款,,,,,,
匯率來了,,,,,,
明天要跌幾百點,,,,,,
全體理事一致同意... 這算投票嗎,,,,,,
才半碼歐,,,,,,
喜歡步兵,,,,,,
我就不信下個月還會跟著升 爛死==,,,,,,
炒起來,,,,,,
才半碼ㄏㄏㄏㄏ,,,,,,
美金買滿買好,,,,,,
利空出盡，元太嘎起來,元太,8069,,,,
台幣世界廢 美金我來了,,,,,,
爛死,,,,,,
果然房地產經濟火車頭,,,,,,
爛透了 升個半碼還遲到這麼久,,,,,,
房蟲繼續開趴,,,,,,
算啊，我們有我們的玩法(笑,,,,,,
一千萬房貸 一個月大概多繳600元,,,,,,
看來明天600點招待,,,,,,
半碼..資金抽離台股  完了  崩崩,,,,,,
可悲,,,,,,
明天金融股全面崩盤,,,,,,
一堆魯空 連升息都預測不準 笑死,,,,,,
笑死 半碼也敢升,,,,,,
建商：快選舉了對吧。,,,,,,
半碼啦乾,,,,,,
出口商賺爛,,,,,,
阿 才半碼?,,,,,,
超廢....不敢得罪建商！？,,,,,,
半碼 慘了 台幣跌爛 股市跳樓,,,,,,
房價繼續噴 台幣世界爛 美金我來了,,,,,,
又要多繳600元 好窮啊,,,,,,
撤出台幣首倒GG和其他權值股@@,台積電,2330,,,,
看來明天外資還有得賣,,,,,,
88 明天繼續崩,,,,,,
台幣直接崩潰給你看,,,,,,
台幣出走囉,,,,,,
房市繼續噴,,,,,,
才半碼有夠看無民眾還貸能力,,,,,,
才半碼 可憐那,,,,,,
台幣應該要繼續貶下去了 半碼物價應該又要...怎又要,,,,,,
恭喜,,,,,,
好廢，下個月美國又升三碼，看你怎麼追,,,,,,
不用選了,,,,,,
哈哈,,,,,,
才半碼？？傻眼,,,,,,
房蟲大勝利,,,,,,
房價噴了,,,,,,
最近股匯市一個送分題笑死,,,,,,
年底快到了 不能讓金主爸爸生氣,,,,,,
完蛋，外資要大賣超惹嗎,,,,,,
笑死!笑死!https://i.imgur.com/NaG73Ek.png,,,,,,
笑死 不是1也不是0,,,,,,
買房還是保值,,,,,,
笑死，台股一萬見,,,,,,
今天忘了用另一個銀行帳號買美金 (〒︿〒),,,,,,
擺明就是要放任炒房了 真的很棒呢,,,,,,
真的把利率當兒戲,,,,,,
恭喜房蟲 今天妹多叫兩個,,,,,,
笑死人,,,,,,
